run_id,config_id,protein,split,method,seed,backend,n_energy_evaluations,elapsed_s,method_step,objective_eval,restart,best_energy,best_bitstring,cvar,ca_rmsd_angstrom,ca_rmsd_ensemble_min
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,39,2.457292079925537,,5,0,-356.1251556948355,1110101111110101111000,-350.6220251467742,5.726871155831443,4.968827182685779
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,69,3.1739110946655273,,9,0,-356.1251556948355,1110101111110101111000,-349.53797476291845,5.726871155831443,4.968827182685779
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,96,3.8069591522216797,,13,0,-357.9401183134159,0110101011111110000001,-349.7444424373657,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,131,4.681064128875732,,18,0,-357.9401183134159,0110101011111110000001,-350.8580694046832,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,160,5.400104999542236,,22,0,-357.9401183134159,0110101011111110000001,-353.54202627251436,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,198,6.3416571617126465,,27,0,-357.9401183134159,0110101011111110000001,-354.66183854470387,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,227,7.0491251945495605,,31,0,-357.9401183134159,0110101011111110000001,-349.0293585188519,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,261,7.927202224731445,,36,0,-357.9401183134159,0110101011111110000001,-350.7231927523272,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,294,8.724355220794678,,41,0,-357.9401183134159,0110101011111110000001,-349.16683959621423,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,323,9.463211059570312,,46,0,-357.9401183134159,0110101011111110000001,-346.95947097843873,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,358,10.34367322921753,,51,0,-357.9401183134159,0110101011111110000001,-345.91832470278223,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,386,10.968400955200195,,55,0,-357.9401183134159,0110101011111110000001,-348.26451775887847,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,420,11.826841115951538,,60,0,-357.9401183134159,0110101011111110000001,-353.4118292398656,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,453,12.627631187438965,,65,0,-357.9401183134159,0110101011111110000001,-351.68940020407706,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,481,13.337005138397217,,69,0,-357.9401183134159,0110101011111110000001,-349.8505670982016,4.937831851774726,4.181547396608927
d747eb5bac599ce9,1954cacd3417,1UAO,development,vqe,0,direct,487,13.507329225540161,,71,0,-360.79967941408063,0110100000001001111001,-357.47523320026005,2.2488085888560936,1.2301082112074155
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,36,2.632214069366455,,5,0,-359.3680842840491,0100101011111101111100,-353.55240438705823,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,68,3.509100914001465,,10,0,-359.4369077623101,0100101011111101110100,-351.9587741912206,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,99,4.3138158321380615,,15,0,-359.4369077623101,0100101011111101110100,-353.54517990226043,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,130,5.112056016921997,,20,0,-359.4369077623101,0100101011111101110100,-349.2555469505831,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,164,5.933256149291992,,25,0,-359.4369077623101,0100101011111101110100,-351.63562470663976,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,192,6.556877851486206,,29,0,-359.4369077623101,0100101011111101110100,-352.918335520328,5.491623117856315,4.843722773888398
a09a5524724708e2,1954cacd3417,1UAO,development,vqe,1,direct,228,7.5201051235198975,,35,0,-359.4369077623101,0100101011111101110100,-353.6612714238896,5.491623117856315,4.843722773888398
